Course	Room	Teacher	Time	Students
81	48	21	1	8502 4361 7173 2715 194 665 2775 5631 5331 6906 7652 6903 396 5470 1895 4555 4029 26 8888 3552 8199 6761 6412 2666 323 2268 5787 1442 1676 8928 4277 2417 845 5141 6982 7865 8698 7788 6864 8266 7049 8355 5121 5228 961 7167 3111 3110 3965 4979 9016 6454 7688 
115	48	529	2	4263 5111 2456 4184 661 943 8307 3274 5660 136 4342 7384 8524 7717 7158 3122 6008 8969 367 1676 6245 1234 2289 510 3816 3765 899 6589 2931 7021 246 168 6413 6739 3054 4174 6270 4172 3445 6777 6905 4015 5839 5564 8662 5750 5731 1415 1574 
67	48	156	3	6383 760 4655 7174 4656 2194 5571 4789 3536 7911 4783 3008 8940 1389 4943 1714 1731 2789 2037 406 5845 3182 7883 7197 7555 5804 302 1762 3072 1593 7001 780 2025 3560 2271 6132 5826 3372 7601 7765 5850 2039 2060 7979 8583 1511 8139 
244	48	296	4	8079 2652 1782 8383 457 5605 5332 6533 8134 69 8448 7386 170 3556 1568 694 7158 2983 7264 5092 5721 4007 1447 8757 1212 3885 1211 1793 8771 5287 1933 3134 5464 8350 3057 6860 3707 8956 7334 8553 6462 2673 2066 1531 5799 5536 
551	48	512	5	2903 3759 8608 158 5034 1343 984 5139 4109 3043 4515 5132 5944 2886 4017 4696 4809 1075 5419 5589 1371 8719 189 7885 3915 2447 2874 8201 4115 5157 6480 6426 505 4712 5717 3188 6396 2278 6112 5570 1241 5794 7462 6367 
29	48	59	6	4898 576 4186 3416 4656 8325 1256 27 3123 2888 4497 7696 4494 1693 7433 1465 1460 2242 5848 8048 3818 677 4498 3627 4776 8249 4036 5263 4374 2258 1644 7148 5343 5612 7212 8186 3014 2068 688 2487 920 8978 4960 2371 
795	48	270	7	2712 8255 5665 2296 3143 8466 4576 178 3167 5643 172 7301 6649 5581 3430 5983 4289 3436 7436 915 5867 7190 8808 8435 5165 3767 1352 3608 3625 6140 4039 6093 5180 783 6115 806 928 3196 470 8663 533 6133 921 7509 
457	48	335	8	7051 559 1327 211 2295 3947 60 3322 6921 1832 6435 8094 4149 1716 2782 1732 1456 3437 4493 162 8716 1032 935 2441 4210 2580 2751 7023 5511 7648 4778 6891 4520 8934 3843 3091 6189 8915 4953 3099 2161 5976 1884 
1041	48	389	9	1326 3617 1780 2451 3756 5742 619 5744 8279 7657 8346 7836 691 3975 492 1691 4862 2685 4099 8377 8160 6824 6589 3874 5715 5551 7904 8416 6888 3562 6425 900 7257 6568 7252 5596 1600 6776 5306 7699 4486 1769 6314 3568 
302	48	32	10	6833 3592 5391 5440 2960 2841 131 3066 142 1892 2865 3215 5276 5438 3024 5562 2383 7691 2661 5688 8042 3094 5778 4622 4443 8479 5895 8243 6758 1829 1994 5400 1843 6409 2237 3966 2798 2259 8835 6692 418 6416 9002 
134	48	539	11	5117 597 704 8300 1169 6126 1944 6900 4908 1771 4697 2983 1075 4387 2304 4745 5784 1693 5840 3996 1210 8848 140 465 4335 1647 6159 6713 6845 2121 8870 4730 1435 4155 4423 1974 2084 2496 5375 1727 3984 648 3682 
764	48	528	12	459 942 6858 4240 3049 2191 4437 1894 8298 3148 4343 4356 2345 8190 4941 2133 4740 8880 6664 300 6369 8826 6309 5800 4841 5067 1172 2851 5143 6150 3264 7989 5045 5972 5260 7212 6507 8914 299 8852 4970 7890 4973 
398	48	463	13	3922 4300 2716 6853 6969 4269 3608 986 43 5882 131 1872 499 7658 3329 3278 7599 1582 5622 7205 6009 7973 6683 4499 1097 4198 2704 2706 3152 4773 3077 7660 7821 5758 1828 4651 4161 8566 1481 4014 5690 4953 6491 
903	48	306	14	2639 6988 570 2925 8621 8462 6124 7340 1686 3148 5495 236 5075 1542 7053 4906 6448 2174 5923 362 2362 500 2290 8759 5167 2297 758 565 6638 6489 7354 5659 7663 8559 7841 7869 5406 7523 535 2519 6766 6199 
648	48	429	15	8053 2472 5151 8625 2431 1347 5477 3535 3273 5353 4535 3186 8800 6229 7737 2584 8165 713 446 4032 7848 6880 5657 5513 1787 106 1746 6357 4770 1020 1996 1825 5244 31 6465 6773 2359 648 2255 1383 4956 6670 
