Students	9025
1	506 274 118 988
2	11 1154 350 304
3	69 1195 838 1125
4	493 344 165 609
5	98 456 139 638
6	1039 74 1148 855
7	525 780 316 87
8	556 931 106 449
9	545 204 690 1067
10	299 1051 834 446
11	1075 882 248 725
12	140 296 261 504
13	945 17 811 927
14	918 1019 192 93
15	894 19 182 1109
16	735 512 360 1189
17	137 654 557 1009
18	905 60 649 695
19	371 740 611 700
20	332 742 12 661
21	417 776 184 832
22	618 110 822 600
23	893 54 1096 41
24	135 456 930 359
25	712 629 803 1128
26	81 393 224 1068
27	29 487 821 371
28	169 50 291 1049
29	811 630 976 880
30	1163 94 483 568
31	751 697 648 23
32	73 861 374 838
33	1042 436 269 34
34	88 107 79 263
35	528 216 1151 54
36	818 1014 409 208
37	593 930 479 739
38	666 659 597 843
39	916 1011 332 383
40	201 938 1 725
41	1091 277 602 400
42	801 516 1052 1183
43	70 1197 398 350
44	229 499 25 913
45	754 277 1058 654
46	746 156 1036 460
47	191 128 185 739
48	911 266 322 320
49	575 26 1001 380
50	314 1126 722 1074
51	1161 897 413 906
52	649 204 642 952
53	105 560 36 209
54	1178 561 666 169
55	754 291 1076 478
56	576 950 113 1200
57	362 1119 5 544
58	372 574 1052 1032
59	505 985 615 958
60	916 1102 457 500
61	505 330 414 572
62	995 891 338 348
63	1022 629 771 508
64	517 1082 428 849
65	408 347 574 106
66	440 1037 748 1179
67	832 404 962 663
68	219 392 487 11
69	1175 241 244 329
70	744 262 749 1077
71	1142 311 1095 818
72	226 629 1004 335
73	721 74 421 1065
74	788 490 581 972
75	9 363 847 1056
76	1130 475 393 1023
77	1065 174 283 879
78	1146 1102 367 449
79	488 738 525 567
80	559 432 1067 773
81	1071 817 934 605
82	1094 1022 668 467
83	68 271 540 809
84	506 523 224 834
85	262 643 534 405
86	1194 1119 20 122
87	956 152 419 79
88	1098 906 354 1186
89	57 821 489 1177
90	1170 206 1113 714
91	720 786 961 22
92	69 56 267 892
93	1055 675 670 1000
94	1066 1024 344 716
95	1054 492 286 567
96	696 1039 944 750
97	113 800 339 436
98	822 924 613 303
99	770 207 1184 819
100	60 728 806 657
101	842 1171 147 774
102	863 1007 1090 849
103	591 661 685 967
104	590 709 902 41
105	1070 71 895 51
106	617 648 820 643
107	834 387 289 575
108	560 910 4 368
109	292 1153 1003 315
110	573 969 495 421
111	971 839 1163 889
112	1085 896 731 668
113	861 254 994 378
114	589 372 265 191
115	751 1179 541 1143
116	292 484 76 101
117	944 680 740 125
118	658 309 111 330
119	474 412 1035 686
120	818 1198 441 300
121	378 366 752 808
122	1056 199 48 1024
123	694 813 505 1114
124	694 836 793 512
125	70 254 1096 423
126	261 263 99 445
127	746 943 1184 443
128	389 57 1018 481
129	1073 679 195 370
130	172 190 284 741
131	579 398 302 486
132	259 662 85 1080
133	171 899 311 838
134	1005 1182 5 1080
135	364 318 883 170
136	687 115 247 714
137	375 292 416 791
138	1057 1107 324 776
139	1159 397 349 160
140	168 1155 37 134
141	724 11 515 217
142	91 653 1070 302
143	601 643 782 86
144	507 549 125 1085
145	364 957 358 860
146	520 445 927 1114
147	1003 522 594 140
148	1086 312 194 1031
149	560 554 680 476
150	70 1057 16 848
151	428 788 1115 769
152	677 1006 330 634
153	1095 251 284 342
154	309 1143 1019 1186
155	607 543 1032 879
156	682 507 858 763
157	83 24 245 638
158	920 63 46 551
159	554 906 682 345
160	768 952 271 737
161	159 236 47 435
162	462 457 152 450
163	247 534 231 784
164	782 438 964 613
165	890 1083 837 1159
166	550 1052 394 1120
167	105 1003 627 186
168	1033 1135 115 347
169	360 356 200 495
170	924 111 244 158
171	1086 789 739 1198
172	635 747 341 795
173	82 499 389 930
174	690 665 1034 678
175	196 768 613 263
176	1065 250 990 1011
177	977 98 528 257
178	1127 30 163 795
179	836 876 220 945
180	684 396 271 156
181	957 405 646 205
182	640 482 1029 727
183	433 286 508 1177
184	541 461 464 774
185	524 709 68 74
186	718 343 579 1070
187	1007 55 825 686
188	260 678 441 345
189	365 862 551 177
190	33 684 636 933
191	969 287 260 728
192	316 476 843 335
193	422 776 901 575
194	931 708 729 81
195	1185 976 1175 970
196	889 547 739 1053
197	585 178 64 107
198	77 797 1174 1162
199	1040 386 288 1085
200	997 299 912 140
201	1117 1042 809 992
202	77 106 1115 1190
203	103 705 960 469
204	708 486 397 808
205	1155 991 413 614
206	55 1079 500 138
207	935 1049 255 654
208	1128 774 821 238
209	1175 1087 657 359
210	205 1170 891 821
211	457 161 627 831
212	769 266 972 859
213	1192 102 153 520
214	488 348 272 933
215	799 259 407 52
216	384 909 325 1129
217	1165 478 694 949
218	315 462 165 1195
219	56 185 331 729
220	1076 809 587 726
221	789 1087 862 1044
222	357 452 420 1096
223	476 1119 90 1189
224	1181 808 564 181
225	930 183 782 179
226	742 85 582 787
227	1101 407 1157 121
228	114 1123 414 445
229	902 1067 251 1154
230	985 1184 607 395
231	986 955 37 52
232	891 1189 402 1039
233	437 55 345 363
234	90 449 20 322
235	1013 347 828 909
236	903 547 8 478
237	1127 258 907 277
238	386 635 898 405
239	1038 947 630 191
240	472 87 1107 601
241	24 186 1047 922
