Course	Room	Teacher	Time	Students
5	2	3	1	37 60 62 64 24 22 28 29 41 3 2 7 77 98 73 71 91 92 78 11 15 58 17 18 31 51 53 54 
10	2	8	2	29 61 62 63 66 83 81 85 48 49 45 43 40 2 4 76 74 73 96 59 22 55 18 23 52 
12	2	10	3	60 66 82 69 85 48 44 45 42 6 76 72 71 93 92 95 78 39 12 17 19 30 55 33 
18	2	10	4	30 28 67 80 81 25 27 46 42 43 41 3 2 5 77 98 73 70 90 93 96 33 56 
4	2	5	5	22 60 63 87 84 25 26 27 20 48 46 47 45 1 99 76 11 59 58 54 30 36 89 
16	2	9	6	60 61 84 85 24 21 29 1 8 99 93 97 38 14 17 16 19 18 31 51 36 53 
8	2	9	7	64 83 86 93 26 5 6 9 8 39 76 100 78 13 12 14 55 54 57 50 53 32 
17	2	8	8	10 13 14 16 33 47 62 37 43 35 29 1 99 75 26 89 25 86 87 97 21 
3	2	1	9	13 59 57 22 23 19 44 39 50 98 88 89 64 79 70 91 2 100 86 94 90 
2	2	2	10	58 27 20 48 17 49 79 42 37 4 34 77 75 63 65 47 82 72 52 97 28 
19	7	4	4	1 15 57 49 31 51 34 99 9 74 
7	7	3	7	24 10 72 38 21 23 31 56 42 35 
11	7	5	6	11 86 15 54 57 28 35 34 73 40 
9	7	6	2	11 12 58 38 33 47 44 36 46 75 
15	7	1	5	6 23 14 16 19 32 56 37 21 40 
14	7	4	1	10 12 16 46 32 61 75 74 4 66 
6	10	7	1	27 59 55 45 35 34 88 38 5 65 
20	7	2	8	24 44 30 51 36 68 71 67 91 83 
1	10	7	2	20 56 15 9 88 67 68 90 80 95 
13	7	6	3	26 20 49 88 40 41 3 63 5 9 
