Students	100
1	4 15 10 9
2	8 11 13 4
3	8 2 3 14
4	19 3 5 12
5	7 5 20 11
6	17 3 7 18
7	18 12 4 1
8	9 12 1 19
9	14 10 17 7
10	18 14 11 12
11	16 4 12 5
12	17 10 3 1
13	5 10 19 13
14	11 2 3 6
15	8 19 17 11
16	10 13 8 18
17	4 10 1 8
18	8 17 4 16
19	7 16 4 15
20	5 2 14 10
21	12 13 1 6
22	2 20 17 1
23	19 2 8 5
24	5 6 17 7
25	18 11 1 9
26	6 17 20 9
27	1 14 15 17
28	1 14 17 8
29	13 7 17 4
30	6 5 20 10
31	4 1 2 5
32	9 15 2 16
33	14 12 1 7
34	9 14 12 13
35	20 8 2 7
36	3 4 19 12
37	10 20 15 12
38	4 19 5 3
39	9 8 12 11
40	6 16 19 8
41	3 10 8 13
42	19 15 17 9
43	17 16 12 1
44	14 13 8 15
45	14 13 16 20
46	11 2 18 7
47	6 4 1 20
48	12 20 13 11
49	14 17 8 11
50	15 11 8 17
51	5 17 1 13
52	4 11 13 3
53	20 9 1 14
54	3 11 9 14
55	13 5 4 15
56	12 14 4 6
57	2 13 7 8
58	10 16 17 5
59	6 18 15 5
60	11 13 1 18
61	3 14 20 1
62	17 9 20 4
63	18 4 8 12
64	14 5 19 12
65	12 15 9 18
66	13 5 15 11
67	1 20 4 15
68	8 18 1 3
69	16 3 17 9
70	1 12 11 10
71	9 11 14 15
72	7 18 13 8
73	20 3 10 14
74	20 14 13 1
75	13 10 3 5
76	5 4 9 18
77	11 19 12 2
78	16 7 9 20
79	1 13 10 18
80	13 6 17 2
81	10 20 11 14
82	11 1 2 12
83	20 19 18 17
84	10 14 4 7
85	6 2 11 9
86	11 6 17 16
87	4 17 3 11
88	18 8 10 2
89	18 17 5 11
90	11 17 13 14
91	5 13 6 1
92	11 9 2 19
93	4 3 10 19
94	10 18 4 11
95	10 15 18 4
96	3 14 13 20
97	20 11 7 4
98	4 5 18 15
99	14 10 1 8
100	8 20 19 15
