Buildings	13
1	11
2	6
3	7
4	7
5	6
6	4
7	3
8	2
9	3
10	13
11	13
12	9
13	2
14	10
15	8
16	8
17	1
18	5
19	5
20	9
21	1
22	12
23	11
24	12
25	10
26	4
Class Times	12
Rooms	1000
1	51	2
2	20	13
3	16	1
4	45	12
5	65	11
6	88	13
7	118	2
8	70	3
9	17	7
10	60	1
11	41	10
12	116	1
13	54	5
14	72	3
15	39	13
16	54	10
17	107	1
18	53	1
19	65	13
20	12	3
21	86	6
22	67	3
23	116	5
24	97	2
25	31	11
26	53	1
27	36	5
28	116	4
29	70	3
30	102	1
31	27	2
32	34	3
33	59	7
34	86	9
35	75	1
36	57	2
37	75	13
38	59	13
39	63	10
40	113	4
41	63	12
42	10	11
43	23	12
44	110	10
45	93	7
46	44	7
47	15	12
48	93	7
49	12	7
50	71	8
51	95	9
52	66	1
53	81	7
54	52	9
55	33	11
56	88	5
57	58	6
58	89	1
59	118	2
60	70	1
61	56	5
62	29	10
63	108	6
64	37	10
65	55	1
66	19	4
67	112	1
68	106	1
69	119	2
70	39	2
71	45	6
72	53	2
73	103	3
74	98	5
75	92	5
76	53	12
77	16	7
78	51	10
79	38	5
80	103	12
81	43	9
82	73	13
83	28	1
84	18	9
85	45	10
86	96	5
87	23	6
88	39	6
89	103	1
90	73	8
91	87	13
92	60	7
93	113	11
94	31	10
95	74	5
96	104	13
97	115	11
98	17	13
99	82	11
100	60	13
101	10	12
102	56	2
103	66	3
104	42	13
105	118	9
106	94	3
107	42	5
108	109	12
109	65	1
110	54	10
111	52	2
112	60	1
113	37	5
114	13	11
115	18	11
116	32	5
117	40	10
118	58	6
119	68	12
120	66	10
121	98	6
122	50	3
123	100	6
124	12	2
125	94	8
126	87	13
127	101	11
128	55	11
129	56	13
130	12	10
131	23	12
132	107	1
133	80	4
134	48	2
135	84	7
136	86	4
137	56	7
138	69	8
139	58	2
140	18	2
141	63	10
142	100	1
143	54	1
144	45	10
145	29	8
146	69	1
147	81	11
148	35	1
149	42	5
150	32	4
151	58	9
152	93	4
153	85	12
154	24	5
155	119	3
156	68	11
157	53	8
158	86	13
159	111	8
160	94	9
161	57	8
162	89	5
163	97	8
164	55	6
165	110	1
166	56	3
167	64	8
168	49	9
169	42	1
170	25	6
171	27	3
172	23	6
173	25	10
174	58	13
175	70	7
176	13	10
177	61	6
178	42	13
179	96	4
180	71	13
181	40	2
182	58	4
183	25	9
184	40	8
185	60	10
186	99	9
187	59	4
188	43	6
189	46	3
190	60	6
191	40	3
192	94	2
193	90	6
194	53	10
195	95	2
196	90	10
197	50	1
198	106	2
199	57	6
200	12	8
201	72	7
202	97	1
203	68	4
204	70	8
205	34	3
206	31	7
207	47	4
208	26	11
209	13	6
210	82	12
211	41	3
212	31	4
213	48	13
214	73	10
215	68	3
216	29	7
217	56	2
218	91	6
219	56	4
220	12	8
221	75	12
222	19	2
223	22	10
224	12	3
225	49	12
226	17	5
227	86	2
228	23	13
229	106	5
230	18	2
231	91	10
232	117	12
233	56	11
234	22	4
235	110	4
236	23	7
237	30	3
238	32	1
239	110	7
240	69	1
241	21	9
242	29	7
243	48	7
244	69	4
245	48	3
246	10	8
247	95	2
248	80	2
249	45	10
250	52	8
251	117	1
252	47	8
253	53	9
254	14	11
255	47	3
256	100	10
257	116	9
258	18	6
259	90	5
260	101	13
261	76	3
262	113	11
263	86	10
264	108	9
265	118	10
266	58	13
267	46	8
268	17	4
269	65	2
270	12	11
271	65	12
272	11	4
273	29	9
274	89	3
275	35	5
276	51	2
277	53	9
278	26	8
279	21	13
280	44	5
281	81	6
282	52	9
283	119	9
284	85	3
285	24	11
286	23	11
287	93	6
288	59	9
289	61	5
290	115	9
291	117	8
292	94	2
293	49	5
294	90	12
295	13	4
296	100	4
297	35	3
298	66	10
299	19	5
300	70	7
301	42	10
302	34	13
303	46	10
304	30	9
305	44	5
306	117	2
307	35	13
308	29	1
309	101	4
310	98	2
311	118	10
312	118	7
313	27	7
314	95	9
315	59	5
316	49	6
317	76	12
318	76	4
319	62	7
320	79	2
321	112	3
322	61	1
323	115	9
324	46	10
325	19	7
326	116	9
327	92	2
328	67	1
329	30	13
330	44	9
331	84	8
332	48	3
333	24	12
334	25	12
335	70	12
336	74	10
337	75	3
338	21	11
339	104	12
340	73	6
341	53	9
342	96	12
343	54	7
344	69	9
345	93	7
346	67	6
347	109	1
348	105	2
349	58	1
350	82	2
351	71	1
352	42	5
353	82	4
354	108	10
355	69	5
356	75	1
357	79	10
358	84	10
359	11	2
360	13	9
361	49	9
362	33	7
363	112	10
364	100	7
365	27	9
366	115	4
367	77	10
368	10	9
369	108	5
370	85	8
371	43	10
372	30	3
373	74	2
374	88	10
375	69	2
376	20	7
377	62	2
378	37	8
379	39	2
380	63	5
381	104	8
382	12	2
383	114	8
384	67	4
385	73	3
386	82	11
387	113	9
388	88	4
389	100	8
390	104	7
391	60	4
392	56	2
393	56	7
394	46	5
395	51	9
396	25	12
397	56	5
398	111	1
399	94	9
400	27	8
401	103	1
402	111	13
403	25	13
404	76	12
405	46	1
406	25	12
407	74	9
408	60	7
409	102	7
410	36	2
411	103	11
412	23	2
413	80	9
414	106	4
415	82	2
416	101	10
417	105	13
418	22	5
419	15	11
420	68	2
421	84	5
422	35	3
423	78	8
424	108	12
425	23	12
426	32	10
427	107	3
428	88	10
429	58	9
430	115	7
431	107	1
432	64	5
433	27	8
434	19	5
435	39	12
436	82	2
437	110	12
438	112	10
439	105	13
440	97	10
441	54	13
442	92	6
443	73	1
444	52	10
445	39	4
446	15	3
447	29	9
448	82	8
449	102	11
450	76	12
451	17	11
452	66	12
453	119	3
454	28	8
455	85	2
456	16	5
457	68	3
458	81	3
459	72	10
460	112	11
461	19	11
462	53	1
463	62	13
464	48	8
465	11	7
466	29	2
467	21	13
468	116	7
469	17	8
470	97	4
471	28	8
472	70	13
473	74	2
474	56	11
475	67	3
476	111	9
477	65	11
478	53	1
479	23	11
480	18	9
481	12	10
482	97	12
483	39	5
484	104	4
485	20	2
486	114	13
487	61	9
488	64	4
489	54	5
490	104	13
491	110	10
492	19	4
493	79	1
494	12	12
495	10	4
496	41	10
497	108	13
498	111	8
499	15	7
500	84	6
501	59	10
502	31	5
503	52	11
504	79	12
505	84	10
506	21	6
507	83	1
508	118	9
509	10	3
510	61	8
511	29	11
512	96	3
513	74	13
514	38	7
515	20	12
516	111	4
517	103	11
518	35	3
519	81	8
520	70	12
521	112	13
522	101	9
523	27	5
524	76	13
525	25	13
526	53	11
527	57	10
528	88	7
529	68	7
530	109	12
531	31	5
532	66	3
533	36	8
534	55	9
535	50	2
536	101	5
537	31	2
538	104	4
539	113	7
540	40	12
541	47	11
542	57	8
543	40	11
544	53	2
545	110	11
546	35	3
547	64	7
548	103	11
549	10	5
550	94	1
551	38	7
552	51	1
553	75	13
554	117	8
555	113	5
556	64	8
557	11	11
558	46	13
559	118	11
560	95	10
561	32	1
562	18	5
563	34	1
564	10	1
565	20	9
566	109	7
567	10	9
568	65	13
569	59	4
570	28	4
571	55	1
572	14	8
573	33	10
574	35	13
575	117	10
576	102	5
577	66	6
578	92	2
579	64	1
580	61	2
581	78	7
582	50	13
583	53	9
584	38	4
585	59	13
586	119	1
587	32	10
588	16	7
589	102	6
590	90	13
591	35	13
592	57	5
593	29	10
594	50	7
595	86	2
596	17	3
597	35	6
598	108	5
599	75	2
600	65	13
601	43	3
602	62	3
603	108	10
604	53	10
605	109	7
606	118	4
607	27	13
608	30	8
609	22	9
610	111	12
611	119	9
612	59	10
613	115	13
614	25	11
615	32	5
616	28	13
617	61	3
618	12	3
619	41	12
620	105	10
621	66	8
622	76	9
623	50	8
