Students	1000
1	217 340 56 59
2	39 5 261 329
3	269 108 124 83
4	397 350 354 383
5	326 121 359 226
6	370 197 22 194
7	104 272 1 216
8	138 18 320 41
9	145 383 285 65
10	25 391 186 380
11	249 123 175 101
12	56 313 143 82
13	50 340 43 152
14	169 171 142 287
15	213 286 239 120
16	248 167 182 164
17	95 38 343 97
18	149 116 213 372
19	211 213 155 106
20	8 234 230 286
21	327 393 209 344
22	250 102 56 253
23	347 236 192 307
24	270 81 63 386
25	271 219 95 310
26	313 133 226 388
27	55 267 231 75
28	94 64 374 92
29	272 218 399 353
30	134 106 323 326
31	214 227 105 181
32	139 225 21 268
33	301 176 236 259
34	123 291 343 58
35	300 101 106 176
36	18 315 156 205
37	9 248 241 180
38	249 158 119 113
39	256 338 290 8
40	283 1 173 304
41	88 252 248 76
42	263 268 46 296
43	189 134 88 31
44	258 49 134 166
45	303 162 46 225
46	287 55 387 255
47	301 63 254 399
48	268 142 5 156
49	48 310 244 285
50	131 36 152 371
51	357 398 60 161
52	86 332 155 162
53	186 286 54 35
54	255 262 251 347
55	105 170 373 89
56	335 376 58 194
57	222 56 35 304
58	120 144 113 200
59	158 137 113 131
60	73 156 249 364
61	186 80 380 210
62	243 80 261 39
63	128 87 131 110
64	306 46 278 279
65	264 146 214 203
66	323 211 255 309
67	147 245 226 1
68	48 212 302 393
69	147 315 272 60
70	318 124 272 313
71	359 237 302 163
72	63 304 67 358
73	146 283 234 306
74	266 241 349 72
75	304 343 16 80
76	339 342 319 305
77	245 347 75 14
78	331 114 154 336
79	193 313 103 196
80	194 55 202 300
81	135 107 110 57
82	245 146 310 27
83	200 289 335 375
84	82 47 264 114
85	199 266 105 177
86	250 182 336 92
87	344 79 298 186
88	209 283 49 345
89	290 267 314 323
90	99 81 34 75
91	114 341 135 346
92	396 258 85 30
93	81 144 228 40
94	15 296 383 183
95	205 128 62 314
96	131 126 250 388
97	28 292 88 157
98	392 204 168 141
99	93 144 379 365
100	231 175 122 33
101	113 173 349 347
102	305 390 207 218
103	59 363 202 150
104	54 118 299 290
105	12 238 358 216
106	226 36 7 327
107	354 365 24 266
108	289 170 97 167
109	69 283 9 103
110	30 216 107 368
111	332 31 139 234
112	267 5 399 207
113	110 334 263 221
114	261 47 333 330
115	38 365 246 13
116	9 150 87 166
117	66 260 86 145
118	350 305 244 85
119	282 41 261 159
120	111 200 358 68
121	19 286 274 370
122	47 174 345 101
123	110 337 253 229
124	389 80 201 153
125	143 11 255 201
126	247 152 112 167
127	279 319 71 86
128	80 224 7 268
129	154 192 226 101
130	196 113 40 160
131	119 253 183 117
132	221 316 156 93
133	318 283 32 351
134	76 77 175 393
135	243 283 29 8
136	371 166 283 383
137	241 382 99 170
138	31 310 206 274
139	54 18 110 164
140	395 205 34 342
141	299 99 109 174
142	183 348 246 184
143	32 147 222 303
144	329 286 216 131
145	17 42 154 367
146	96 277 89 281
147	149 189 120 262
148	104 33 84 26
149	391 288 327 143
150	330 188 289 47
151	268 203 247 143
152	209 80 321 46
153	314 14 85 400
154	168 194 71 74
155	381 239 237 62
156	52 57 105 55
157	156 257 243 383
158	151 92 95 194
159	143 202 48 172
160	31 329 392 294
161	264 240 70 277
162	212 369 209 246
163	45 307 266 262
164	346 190 344 352
165	32 277 107 161
166	394 271 221 81
167	344 283 5 40
168	246 32 257 95
169	262 154 391 268
170	78 160 301 168
171	105 147 153 183
172	85 113 267 277
173	134 196 273 200
174	181 37 109 361
175	110 376 158 19
176	177 304 227 111
177	169 118 30 216
178	372 50 111 19
179	55 231 84 76
180	361 286 317 389
181	328 33 353 20
182	22 344 99 110
183	274 257 273 183
184	21 41 46 72
185	136 64 290 168
186	61 170 15 72
187	312 261 245 297
188	8 162 204 322
189	205 348 334 126
190	245 217 290 262
191	351 193 166 124
192	8 46 13 112
193	202 71 229 304
194	40 284 207 161
195	28 237 317 122
196	203 74 252 387
197	65 321 390 300
198	195 51 91 172
199	55 134 105 163
200	166 57 397 292
201	108 400 307 64
202	225 61 43 179
203	158 236 212 46
204	251 341 269 204
205	185 221 26 274
206	91 17 105 173
207	124 188 330 371
208	203 155 113 313
209	375 60 305 379
210	208 144 222 389
211	289 26 148 132
212	361 241 205 313
213	211 107 22 207
214	287 332 276 195
215	99 77 107 83
216	279 340 211 26
217	320 391 261 76
218	295 224 163 120
219	161 104 33 301
220	176 347 55 384
221	47 285 280 147
222	122 337 220 103
223	95 118 327 361
224	257 2 57 33
225	346 282 321 389
226	246 85 75 110
227	32 249 347 164
228	372 202 62 120
229	197 48 30 5
230	226 99 310 117
231	252 20 251 361
232	218 396 228 146
233	188 124 22 321
234	112 340 89 177
235	276 248 284 226
236	48 227 302 260
237	268 359 214 23
238	355 31 5 199
239	23 112 395 119
240	312 69 276 248
241	293 271 253 159
242	316 292 288 352
243	149 11 334 181
244	374 29 219 6
245	158 192 271 370
246	353 113 242 317
247	385 163 134 216
248	144 254 392 353
249	365 213 279 372
250	182 351 43 103
251	374 151 139 192
252	164 323 52 361
253	397 385 244 375
254	294 165 167 61
255	48 379 258 123
256	187 357 242 272
257	357 169 168 227
258	130 5 189 198
259	225 43 218 158
260	383 234 356 370
261	242 24 389 395
262	389 152 6 225
263	270 369 303 236
264	223 135 11 283
265	113 101 45 354
266	160 325 240 249
267	117 344 142 355
268	167 206 198 77
269	121 339 112 83
270	353 270 140 71
271	274 35 182 206
272	375 224 220 265
273	343 355 231 1
274	29 40 89 300
275	193 185 72 297
276	258 382 231 321
277	9 267 119 355
278	305 169 45 278
279	111 22 160 265
280	159 350 184 63
281	131 9 342 75
282	54 30 243 72
283	233 20 315 74
284	211 10 285 262
285	25 19 183 312
286	376 354 186 281
287	89 125 91 61
288	250 284 374 130
289	294 66 142 216
290	102 162 135 144
291	163 327 253 307
292	196 186 213 218
293	326 147 324 232
294	296 231 344 17
295	331 141 48 280
296	68 326 211 151
297	97 212 88 328
298	115 274 258 277
299	315 47 248 180
300	20 15 383 288
301	277 352 323 390
302	394 17 108 176
303	197 351 400 359
304	105 19 290 117
305	336 74 249 207
306	285 169 225 8
307	265 358 313 207
308	396 161 394 194
309	348 208 173 194
310	17 243 175 389
311	119 271 132 95
312	73 395 44 308
313	301 163 198 306
314	331 166 286 155
315	248 362 137 174
316	345 148 249 102
317	320 187 305 140
318	152 73 299 349
319	174 148 156 249
320	359 361 170 117
321	127 124 227 194
322	179 326 170 389
323	291 165 276 96
324	395 345 312 17
325	124 256 357 108
326	25 174 2 83
327	118 184 12 252
328	48 204 79 63
329	140 138 13 332
330	237 166 345 308
331	16 268 291 200
332	330 147 133 268
333	171 284 145 168
334	77 197 55 35
335	218 250 76 178
336	127 112 277 1
337	245 334 239 129
338	39 116 77 277
339	274 261 218 141
340	165 162 313 316
341	6 352 85 28
342	284 74 239 302
343	353 360 28 361
344	155 269 175 218
345	311 331 350 329
346	333 203 239 366
347	328 225 159 227
348	78 141 177 142
349	22 331 11 367
350	212 188 89 99
351	299 363 331 325
352	276 287 301 60
353	87 150 1 373
354	183 152 201 279
355	394 63 152 316
356	6 353 99 296
357	339 115 306 251
358	383 191 385 88
359	71 337 354 281
360	66 108 73 202
361	66 336 231 383
362	352 377 211 205
363	395 200 43 265
364	386 276 11 197
365	242 223 243 45
366	338 40 370 390
367	275 377 268 325
368	268 11 297 33
369	9 114 82 161
370	297 242 45 243
371	297 129 16 62
372	87 397 94 172
373	5 11 233 329
374	320 260 106 324
375	62 42 3 290
376	216 227 73 260
377	310 67 54 189
378	292 16 382 179
379	44 343 36 162
380	266 113 315 311
381	283 363 137 365
382	104 194 156 102
383	227 60 205 7
384	216 240 2 288
385	392 99 227 235
386	200 320 384 289
387	14 287 259 341
388	6 383 280 259
389	63 125 380 257
390	254 153 285 176
391	351 224 122 89
392	266 217 348 6
393	327 285 294 65
394	391 145 259 29
395	220 249 154 212
396	201 173 44 132
397	26 133 2 4
398	35 281 131 81
399	126 219 132 150
400	7 81 12 158
401	230 263 83 348
402	87 18 20 69
403	283 378 206 229
404	382 355 39 76
405	86 107 254 395
406	167 261 26 295
407	100 389 301 257
408	159 191 105 6
409	362 397 142 334
410	57 394 203 300
411	324 365 138 219
412	18 22 37 54
413	270 257 3 95
414	147 301 96 150
415	286 62 204 196
416	241 175 91 248
417	297 312 307 111
418	167 73 116 186
419	284 375 100 387
420	121 158 118 269
421	68 343 304 10
422	87 153 168 127
423	3 274 124 343
424	216 337 100 20
425	67 262 387 7
426	235 247 104 317
427	355 176 361 252
428	322 397 76 289
429	52 236 5 300
430	188 246 242 40
431	184 399 60 388
432	185 266 351 50
433	257 265 135 241
434	67 107 326 277
435	232 266 195 161
436	24 99 215 267
437	31 30 267 342
438	389 108 170 30
439	23 326 182 291
440	72 6 259 132
441	211 325 322 319
442	326 250 155 204
443	233 254 228 127
444	30 321 310 211
445	61 291 40 29
446	303 13 227 347
447	29 292 119 253
448	229 87 290 236
449	96 356 74 288
450	189 222 170 52
451	132 195 99 184
452	389 368 202 192
453	208 109 316 239
454	33 64 383 126
455	86 159 54 304
456	384 246 358 265
457	218 8 291 58
458	372 380 155 324
459	298 269 50 52
460	289 326 249 87
461	70 348 154 257
462	75 92 64 146
463	321 355 246 99
464	321 214 170 240
465	198 195 122 183
466	155 284 78 109
467	145 213 229 323
468	168 163 213 265
469	262 301 269 366
470	101 189 211 183
471	181 250 376 335
472	86 385 115 331
473	210 123 325 313
474	176 218 280 201
475	86 315 320 153
476	276 8 1 212
477	50 345 400 208
478	23 64 240 347
479	319 200 102 377
480	332 165 98 127
481	74 26 83 306
482	20 33 244 308
483	394 143 88 73
484	248 216 48 92
485	151 395 235 296
486	344 225 84 216
487	284 232 245 301
488	194 186 122 140
489	1 190 306 202
490	376 320 175 153
491	377 39 246 113
492	332 197 340 252
493	84 366 125 105
494	390 391 343 350
495	221 384 393 346
496	100 209 10 159
497	7 92 384 66
498	391 105 364 257
499	56 357 244 239
500	30 228 290 62
501	286 30 148 115
502	222 125 324 400
503	381 97 320 392
504	111 97 79 227
505	174 236 231 293
506	3 78 151 221
507	148 257 376 107
508	389 41 56 294
509	378 78 162 23
510	38 303 176 5
511	232 56 229 33
512	395 65 154 71
513	380 89 184 175
514	246 342 286 290
515	165 247 7 328
516	109 389 303 42
517	196 182 211 121
518	47 396 122 275
519	190 289 20 287
520	35 9 328 364
521	74 317 178 135
522	158 91 81 6
523	16 279 124 246
524	100 183 216 382
525	172 261 318 35
526	240 194 184 67
527	141 307 169 297
528	367 109 72 32
529	319 329 394 224
530	49 215 358 154
531	112 397 4 35
532	255 213 349 169
533	85 346 233 226
534	226 141 205 50
535	189 305 33 67
536	258 109 283 187
537	289 117 370 279
538	173 229 395 195
539	191 131 200 107
540	271 39 126 169
541	353 47 163 65
542	171 110 367 353
543	195 11 177 193
544	305 275 85 120
545	25 199 389 355
546	168 134 267 185
547	240 54 56 33
548	293 264 188 144
549	98 223 267 255
550	202 397 5 13
551	336 187 113 26
552	178 229 168 309
553	43 264 136 6
554	284 197 376 193
555	125 76 332 378
556	391 379 182 256
557	162 253 322 237
558	104 343 109 398
559	69 179 71 33
560	90 258 77 289
561	11 319 23 242
562	195 67 389 193
563	143 303 357 56
564	281 386 195 228
565	80 306 156 345
566	299 381 134 34
567	96 124 182 186
568	200 104 46 342
569	274 137 182 348
570	392 205 156 260
571	258 238 297 191
572	260 1 36 11
573	17 260 130 300
574	116 92 210 346
575	3 80 152 151
576	222 375 39 42
577	6 141 163 360
578	255 36 43 268
579	139 350 295 394
580	28 161 337 235
581	162 362 249 63
582	224 151 377 161
583	149 334 308 140
584	124 154 214 30
585	179 150 22 136
586	129 11 137 267
