Course	Room	Teacher	Time	Students
1135	828	109	1	3772 153 3901 3758 2235 2738 3866 4209 2091 6268 6901 1927 68 7130 3162 4781 977 1447 4921 7492 858 5547 7263 344 4590 5843 1376 7884 3097 4314 1793 4190 7486 5128 5488 1911 5403 2127 4050 6462 5343 7603 4719 726 6126 6191 4431 4952 2187 376 
375	646	152	2	3611 607 8175 7140 3599 3806 988 8429 7852 6708 3322 498 4636 2945 8014 7971 2940 4945 3305 4284 7360 8448 1966 1370 1534 1251 4780 6781 7396 2582 2875 5387 2856 6959 3073 72 9001 6485 6547 1622 7702 5957 6464 1823 6650 109 37 1005 5085 
893	697	430	3	3613 7935 1077 625 5150 3757 6745 8566 3272 8302 8113 7917 2956 4340 5823 7327 1617 1735 4169 2151 3182 2771 5806 826 2460 4882 2386 6979 7350 3883 5208 5100 7238 7257 7703 7274 3396 6393 6462 8991 4646 3684 5918 4724 4122 7998 1512 
97	646	348	4	8608 395 669 3803 8291 5521 5524 3003 235 4020 3297 4613 6595 5584 3382 6109 3550 1669 8807 1443 1019 342 2749 1291 360 587 6181 2624 304 3402 8791 8003 6015 4409 1801 2082 5424 3502 7036 5224 4484 2003 7520 823 5791 6255 
448	312	320	5	3714 2349 3321 6580 5762 1900 6081 4008 2568 3476 3552 1714 4699 3517 873 6516 2155 2405 326 2369 8070 2586 6975 7391 2004 8639 6280 8634 8599 73 2760 106 6862 2546 1644 3395 4919 6346 6651 5937 6337 8813 7762 8704 1661 
141	69	31	6	2596 4949 7819 9016 448 3079 5529 4200 4555 8270 4749 2827 696 853 1733 1960 5370 1527 1504 2262 8737 1753 5697 4310 1358 4096 2624 897 3150 168 1496 8313 3702 6177 6712 7703 2128 4667 6504 6190 6238 5424 826 5092 7402 
512	312	441	7	5392 2987 628 3755 3530 7226 3655 2801 4449 3474 1717 1059 698 2485 4530 4495 326 1402 4800 7737 3628 3584 8437 1178 8456 8316 260 4359 5657 5773 5652 1285 4715 2215 3243 4526 4739 3373 1808 7728 6445 8484 1749 1459 7689 
38	828	29	8	7285 2867 7342 5253 795 2526 8888 4000 6763 7249 4142 3768 6044 2388 6445 7293 8759 6585 5004 5388 8108 7928 4442 7327 5537 1864 1015 2554 3554 3780 6544 3540 8898 7314 6655 3030 3847 641 6259 8663 8486 2697 8709 3099 
978	586	305	9	319 1141 8057 8159 4180 6812 1125 8622 7346 2863 6876 6148 6923 1832 3555 5354 7320 6649 5827 3185 5739 5452 955 1855 323 8670 6361 3176 814 1295 2460 4561 71 7948 7868 8985 8678 6569 7314 2049 370 7998 5706 2250 
830	828	71	10	4263 1209 2541 1450 6859 8217 8564 6563 6725 394 6608 8404 2053 4161 4535 3024 8805 1373 4985 2175 6323 916 2361 750 2446 2938 5149 7809 8143 7987 1984 4441 4568 902 7617 7251 4873 2579 7582 5936 2378 4856 7184 4954 
