Students	150
1	12 11 14 16
2	15 3 1 8
3	1 4 12 20
4	19 3 16 10
5	8 4 10 5
6	14 7 10 16
7	14 13 8 18
8	4 3 20 12
9	6 13 14 1
10	16 9 13 11
11	3 4 1 11
12	12 4 3 19
13	12 1 2 9
14	15 13 16 5
15	1 12 7 2
16	7 8 13 1
17	4 8 15 2
18	9 3 8 5
19	19 18 10 8
20	3 8 7 11
21	15 19 7 2
22	17 3 2 20
23	4 6 3 15
24	4 7 11 10
25	8 17 7 14
26	10 20 11 14
27	6 19 16 8
28	5 9 17 12
29	19 14 2 9
30	19 14 4 17
31	4 9 14 8
32	1 15 7 9
33	6 19 5 10
34	16 2 13 18
35	8 14 6 2
36	20 9 4 1
37	19 17 9 4
38	18 20 10 16
39	7 2 8 4
40	16 14 5 13
41	3 11 14 10
42	5 19 13 14
43	17 5 4 3
44	6 15 13 8
45	16 10 17 8
46	11 12 8 4
47	9 15 5 4
48	12 4 9 11
49	10 19 12 14
50	1 7 13 15
51	6 13 18 11
52	2 16 10 3
53	20 14 17 16
54	4 13 16 8
55	9 1 2 15
56	15 19 8 18
57	1 12 6 2
58	19 4 6 13
59	19 11 1 18
60	19 4 7 16
61	3 4 15 11
62	15 7 2 5
63	6 8 13 3
64	17 4 12 14
65	7 8 16 9
66	13 3 16 2
67	2 1 8 14
68	14 10 12 16
69	4 7 2 18
70	9 16 6 5
71	17 3 14 4
72	20 16 13 1
73	17 13 1 6
74	12 17 20 6
75	18 19 3 14
76	20 18 19 14
77	9 4 18 7
78	13 2 12 10
79	13 19 5 16
80	16 3 13 9
81	16 8 15 3
82	3 2 16 4
83	7 8 1 12
84	4 16 9 8
85	5 15 6 14
86	18 12 1 17
87	4 9 10 12
88	12 3 1 14
89	2 17 15 1
90	14 3 18 11
91	4 20 5 12
92	1 10 20 4
93	8 3 10 16
94	16 4 3 11
95	2 16 6 1
96	9 10 14 2
97	1 10 3 4
98	15 6 4 16
99	1 15 12 10
100	5 4 17 14
101	18 6 11 12
102	9 1 20 15
103	15 19 18 17
104	15 10 19 16
105	11 13 9 18
106	8 6 4 17
107	6 8 18 20
108	16 18 8 9
109	1 17 4 15
110	20 17 7 1
111	18 6 11 12
112	5 14 6 17
113	12 8 11 15
114	6 16 15 5
115	10 19 11 8
116	15 5 16 17
117	4 8 11 15
118	10 9 17 15
119	1 16 5 9
120	1 19 14 6
121	17 1 6 3
122	12 6 15 20
123	1 18 17 14
124	12 7 8 4
125	6 17 5 13
126	19 11 1 17
127	2 17 10 11
128	19 11 6 12
129	16 14 1 6
130	1 2 9 20
131	13 8 11 18
132	9 10 7 20
133	6 10 9 11
134	12 19 15 11
135	10 17 15 6
136	10 20 3 17
137	9 5 17 12
138	10 1 14 15
139	5 2 8 4
140	14 16 17 13
141	13 17 9 7
142	8 11 14 17
143	14 11 18 5
144	10 6 14 13
145	3 2 17 5
146	6 17 18 20
147	12 5 8 19
148	16 12 20 17
149	5 10 2 7
150	20 19 8 4
