Course	Room	Teacher	Time	Students
26	87	97	1	153 1221 1781 1344 987 145 726 139 2068 1711 1817 20 1081 22 1059 1940 2220 402 2262 1033 2112 1031 658 1013 1212 996 1159 1171 1420 1644 1276 1178 241 388 1499 2212 793 1997 821 
219	87	90	2	216 740 761 1169 390 110 118 1901 693 1545 791 2209 1074 1612 956 322 525 1507 2244 1464 348 2010 1404 308 583 1131 1274 296 240 265 242 90 436 1598 1704 1430 1800 1727 1184 
56	87	124	3	1322 988 1146 1163 1122 454 2296 1947 392 491 171 1633 1191 699 29 799 320 404 737 2262 914 529 934 2288 784 632 899 1131 245 915 1957 73 100 1881 1285 1829 121 33 1060 
95	87	16	4	459 882 983 1343 316 985 392 2194 1546 958 2321 2327 1980 870 41 1524 2171 186 2400 1262 1293 505 816 361 146 207 2050 715 306 244 463 586 248 901 995 1559 968 1066 2024 
147	87	126	5	1320 1082 1787 1923 2195 494 1897 2334 338 81 1982 2227 1195 1039 402 1119 1297 1449 1237 1231 713 304 998 1354 1597 1956 387 91 1499 1915 248 58 2332 1026 2125 1020 1431 1698 960 
59	87	48	6	1307 594 1780 706 986 618 1347 823 492 1161 1632 691 1056 2380 839 1947 979 1111 1503 733 321 1114 508 1293 1509 363 2177 2289 1315 634 2152 2281 263 2210 1728 1825 1629 56 865 
244	87	8	7	158 1260 1125 703 1898 250 1903 84 493 1815 23 1964 838 875 1854 859 1196 1375 1121 1276 1118 424 1388 208 441 2286 2183 1930 711 2185 2111 1884 729 1432 2342 783 1725 2312 416 
259	87	24	8	151 604 1167 705 1207 131 2194 112 82 173 2146 519 26 851 1142 853 1639 1256 2170 1690 1756 1676 528 913 532 1177 206 1128 1052 386 2178 1635 1700 1068 845 1603 630 641 1181 
70	87	61	9	883 1144 982 337 767 315 667 253 2098 1635 518 1610 450 733 1014 1394 1406 1391 891 1359 1090 1158 674 1133 1275 381 165 1517 221 1478 13 1026 1023 1557 2214 1186 1003 1064 1536 
77	87	12	10	1143 215 559 669 1785 60 1926 977 1634 1541 1580 1075 872 431 406 2033 402 2015 1675 502 547 1050 1090 992 1318 75 246 1951 1950 1599 1483 961 1979 905 1999 2240 1978 1605 640 
67	87	50	11	318 709 747 1123 114 1874 81 886 1739 25 2202 1422 1543 2229 1191 1192 2222 798 1372 544 2262 2365 1394 2158 1522 755 1098 148 244 1881 1839 1563 2217 2214 1975 1048 1180 866 1454 
93	87	59	12	1143 1224 135 572 1343 1921 499 113 2340 543 1943 953 1660 1736 1446 1501 7 1402 365 2289 1795 2205 1333 1888 164 484 687 2054 1043 479 59 1282 1978 1847 36 689 1684 1667 1746 
289	87	8	13	217 459 749 197 1922 170 1859 690 323 953 1732 1963 1525 736 2389 548 1754 1564 1138 796 674 1792 2368 211 712 1153 1332 262 1830 385 1916 1728 2272 1842 31 50 2394 2108 2020 
262	87	138	14	594 640 1123 1264 1486 369 1948 323 1965 1967 1855 491 525 346 2269 5 509 695 1508 2267 2075 302 2368 1865 485 2036 221 847 965 2089 2270 1706 1835 1180 415 1683 1668 1007 343 
260	87	101	15	591 1145 1854 449 1483 136 1000 832 693 795 1949 2326 2083 42 2307 1697 404 1253 937 2007 1775 777 1172 1170 305 566 75 489 1888 1027 1705 1711 348 789 2085 841 2078 412 2391 
230	87	94	16	1164 1320 887 1208 748 1960 191 660 393 1874 85 972 1772 1854 956 919 442 1674 936 1138 1091 766 679 444 1590 2184 227 673 1959 1231 59 17 1813 2234 2310 539 1515 1006 1387 
24	87	74	17	211 706 702 1920 2246 1924 252 173 959 1617 1966 1163 288 2035 1527 2249 523 1290 329 1407 1405 2384 146 1798 991 674 301 1477 1918 1596 1958 965 900 1651 2077 809 1532 1998 371 
278	87	35	18	882 558 211 555 158 330 574 2191 2093 231 2136 2329 1946 870 366 2178 365 349 658 751 771 1170 1157 721 1041 1318 380 121 1789 266 243 1550 2123 1552 1708 51 1846 2023 1689 
171	87	52	19	199 1162 336 191 575 1483 178 235 253 1879 2053 1545 2343 1581 1070 653 1251 1291 427 636 1334 1920 185 1861 385 1938 481 1554 1025 2212 2179 852 1187 2188 472 2169 2261 351 2339 
282	87	142	20	217 627 210 1782 333 1613 1071 340 2053 1776 1614 1734 2221 2034 1375 343 1118 2115 360 2012 1093 1792 1277 1659 1884 222 1627 1994 1060 2081 969 1606 1240 1578 352 2075 873 800 2370 
258	87	78	21	2094 397 252 1989 2099 172 2327 1424 169 2207 1076 955 2139 818 1270 1252 1690 328 505 1672 309 1174 638 307 2247 72 101 1770 2333 2043 1825 375 1066 2025 803 2350 435 2107 680 
215	87	72	22	1148 127 66 1909 1902 756 2323 1774 1757 2133 2206 951 1583 2035 1737 320 1444 2369 1397 2364 1699 990 718 1352 567 1490 2389 1951 72 1866 589 1478 1550 1048 518 530 2308 2008 925 
90	87	10	23	1223 1081 1148 703 1053 2326 1569 1058 525 4 1522 1116 1016 363 1507 1279 996 637 1271 302 1336 1239 1277 1889 1866 1386 1849 1848 1044 2082 2313 1671 1579 2259 1573 845 1478 1673 2161 
25	87	63	24	319 2298 212 668 556 219 89 395 679 1199 1537 1545 1618 1964 1070 956 289 320 2369 2116 2007 1421 1210 895 443 786 861 1763 1915 480 1805 2272 55 2147 1419 1242 2021 2353 924 
2	87	140	25	605 155 667 312 2291 1206 273 238 239 279 87 1713 1948 1589 2205 950 1854 2155 1444 2151 739 2072 284 912 2309 1171 846 787 225 1806 844 1021 2129 1840 1846 1808 2358 411 680 
