Students	1200
1	113 242 192 207
2	50 280 214 136
3	114 100 234 182
4	209 195 56 277
5	115 270 245 88
6	249 8 182 44
7	119 198 5 282
8	31 277 15 178
9	207 242 152 243
10	292 130 180 153
11	73 257 287 181
12	213 162 93 55
13	42 65 121 142
14	51 240 173 256
15	183 275 213 252
16	197 177 191 37
17	112 196 87 101
18	224 129 172 77
19	173 233 58 107
20	62 108 209 132
21	156 14 116 61
22	211 79 122 285
23	55 70 8 82
24	117 35 208 64
25	137 176 287 157
26	50 8 67 251
27	285 134 15 78
28	204 232 167 28
29	15 231 13 126
30	8 69 140 231
31	22 181 170 171
32	146 224 112 293
33	64 249 152 93
34	139 16 298 74
35	25 140 164 51
36	90 205 270 80
37	224 299 231 251
38	162 103 79 191
39	51 293 102 68
40	229 247 81 106
41	66 55 292 20
42	29 57 261 40
43	149 20 206 165
44	20 69 64 60
45	119 44 104 43
46	171 251 267 6
47	55 117 23 250
48	107 48 130 59
49	287 50 29 266
50	149 279 216 285
51	234 188 209 233
52	38 65 280 194
53	161 233 27 1
54	246 95 130 97
55	124 153 170 120
56	233 50 134 175
57	95 48 26 277
58	90 265 254 295
59	284 254 169 46
60	221 152 79 225
61	200 47 116 113
62	168 57 235 234
63	246 16 144 193
64	276 47 25 272
65	189 21 13 87
66	195 266 70 224
67	117 19 86 21
68	116 264 229 274
69	56 196 30 179
70	40 38 127 286
71	295 182 63 204
72	133 102 299 43
73	193 8 142 299
74	10 146 292 68
75	284 60 120 257
76	179 249 95 51
77	164 108 112 244
78	72 40 193 107
79	119 108 56 193
80	23 26 7 273
81	294 175 145 137
82	38 63 116 145
83	159 265 77 240
84	258 249 256 152
85	42 148 81 50
86	151 207 205 209
87	176 62 74 219
88	106 246 154 222
89	168 284 17 3
90	60 59 104 47
91	270 52 169 253
92	78 173 126 214
93	115 24 253 94
94	247 146 104 61
95	185 224 137 57
96	65 52 72 28
97	153 215 292 11
98	167 197 84 83
99	299 139 193 70
100	190 22 59 170
101	116 18 220 2
102	67 161 181 122
103	210 292 20 253
104	117 185 7 197
105	265 31 146 196
106	107 297 117 7
107	298 66 1 29
108	20 87 264 193
109	28 100 61 1
110	69 56 130 59
111	115 214 215 186
112	30 37 219 293
113	289 195 86 217
114	119 184 99 198
115	172 144 51 203
116	262 170 59 156
117	154 258 181 243
118	121 146 72 140
119	23 60 219 48
120	18 251 295 193
121	223 224 234 250
122	279 171 259 20
123	102 245 286 222
124	153 182 17 264
125	253 184 279 168
126	119 30 94 127
127	28 96 212 287
128	212 107 205 60
129	163 115 273 47
130	297 203 179 83
131	167 177 184 252
132	207 234 116 90
133	6 288 68 70
134	66 23 248 192
135	296 160 285 299
136	137 256 5 181
137	11 251 248 57
138	17 94 158 233
139	106 61 153 47
140	87 153 134 259
141	56 42 124 184
142	89 136 208 72
143	62 188 17 199
144	155 9 212 180
145	135 167 15 213
146	217 280 137 233
147	4 157 105 129
148	186 160 142 217
149	124 264 43 16
150	46 122 148 42
151	137 49 276 89
152	227 87 67 29
153	266 34 39 12
154	160 132 165 32
155	166 299 16 250
156	10 187 170 275
157	228 95 126 270
158	165 145 221 73
159	170 261 190 4
160	49 203 137 24
161	87 215 115 51
162	160 288 132 78
163	9 275 249 96
164	98 99 95 298
165	73 211 160 277
166	164 143 296 288
167	118 131 242 58
168	102 3 112 153
169	154 227 36 59
170	294 125 140 29
171	34 115 261 270
172	145 58 181 257
173	51 128 229 116
174	5 124 93 209
175	55 75 240 58
176	176 243 47 238
177	15 271 282 180
178	235 160 150 200
179	122 136 69 119
180	64 283 50 124
181	105 247 106 51
182	31 39 179 204
183	289 167 108 226
184	12 124 87 67
185	256 84 165 257
186	30 198 258 212
187	6 274 105 47
188	241 61 113 145
189	207 90 141 33
190	298 64 210 134
191	160 50 192 113
192	256 41 288 249
193	45 185 261 193
194	290 249 75 273
195	89 228 63 248
196	50 216 144 201
197	77 122 185 103
198	62 154 76 272
199	244 240 284 179
200	293 148 13 126
201	202 47 225 55
202	154 84 273 138
203	158 125 117 30
204	228 161 103 54
205	86 39 128 113
206	77 205 171 179
207	270 179 198 109
208	90 176 271 252
209	69 290 124 215
210	202 264 86 245
211	224 69 272 160
212	242 134 82 66
213	213 201 88 283
214	134 12 42 14
215	283 265 121 24
216	28 271 129 227
217	173 155 260 130
218	124 9 146 254
219	66 267 68 202
220	8 211 78 126
221	23 32 96 165
222	33 156 132 11
223	135 88 147 48
224	173 117 193 202
225	73 69 279 8
226	205 14 202 41
227	260 114 130 273
228	56 22 209 280
229	21 186 133 182
230	139 22 176 115
231	171 89 142 9
232	281 235 49 249
233	146 102 45 139
234	155 103 269 215
235	24 81 245 107
236	236 249 227 265
237	121 270 137 237
238	8 164 86 148
239	26 120 271 189
240	96 50 194 6
241	197 51 199 125
242	115 5 99 4
243	112 214 156 81
244	290 71 143 211
245	283 74 279 121
246	38 179 80 60
247	17 81 203 116
248	297 271 178 163
249	8 255 193 282
250	24 270 123 297
251	198 148 173 274
252	210 134 113 203
253	233 276 196 1
254	106 174 60 84
255	187 9 92 3
256	208 234 255 95
257	279 126 41 182
258	14 103 62 161
259	73 249 29 45
260	23 95 290 69
261	159 184 298 185
262	250 252 189 105
263	77 67 61 149
264	294 46 73 10
265	133 75 25 225
266	190 11 164 128
267	52 246 154 240
268	156 190 176 152
269	139 210 24 262
270	270 125 214 276
271	8 170 269 1
272	190 250 264 23
273	89 13 210 172
274	248 43 98 126
275	133 83 123 128
276	117 52 31 51
277	199 299 131 14
278	44 189 183 42
279	92 91 88 233
280	92 90 5 212
281	28 2 154 208
282	224 182 95 35
283	82 2 219 68
284	9 108 297 211
285	33 240 292 237
286	28 153 254 266
287	170 179 1 89
288	299 89 124 68
289	130 292 189 182
290	175 138 193 32
291	218 27 10 261
292	42 294 185 18
293	216 128 31 225
294	43 157 162 14
295	82 120 35 93
296	6 248 57 295
297	54 174 30 9
298	111 73 208 37
299	29 235 132 66
300	148 46 135 195
301	65 33 188 126
302	76 45 235 257
303	89 243 46 21
304	19 205 262 11
305	254 293 283 274
306	232 137 131 260
307	54 65 6 7
308	103 281 166 212
309	261 237 126 93
310	267 46 18 226
311	192 98 247 228
312	85 145 300 101
313	3 220 202 75
314	220 55 155 4
315	56 269 42 35
316	18 67 269 102
317	142 189 7 298
318	139 106 90 67
319	166 46 233 247
320	54 155 135 209
321	254 104 1 257
322	262 151 210 148
323	65 157 129 201
324	151 1 187 65
325	42 229 205 280
326	154 200 250 210
327	37 185 14 154
328	190 219 196 273
329	186 226 209 19
330	251 241 283 211
331	125 156 73 235
332	260 103 88 13
333	131 26 87 288
334	143 134 90 265
335	105 207 256 34
336	217 93 256 271
337	270 60 41 298
338	260 223 164 152
339	173 36 61 112
340	260 8 153 279
341	26 270 135 206
342	283 135 252 61
343	42 127 206 234
344	158 240 248 184
345	53 113 237 195
346	175 90 279 265
347	16 55 192 284
348	186 86 63 182
349	25 43 5 14
350	157 138 154 222
351	189 138 188 21
352	10 54 93 235
353	18 247 88 246
354	277 296 137 31
355	283 112 187 182
356	231 72 167 66
357	130 256 31 82
358	257 144 242 101
359	21 11 216 49
360	277 286 121 89
361	177 157 188 219
362	95 126 199 16
363	3 106 92 141
364	209 128 278 132
365	257 293 5 110
366	175 238 84 82
367	129 134 269 187
368	265 84 247 53
369	284 12 119 138
370	10 2 114 184
371	200 9 294 171
372	197 11 153 26
373	3 169 179 211
374	131 291 293 81
375	150 271 112 294
376	191 142 243 299
377	240 242 190 65
378	134 159 282 34
379	255 209 179 203
380	186 181 220 94
381	7 81 139 266
382	182 292 105 94
383	128 221 71 177
384	155 257 249 62
385	288 226 244 25
386	300 294 22 82
387	86 278 107 168
388	237 36 269 59
389	145 291 209 59
390	139 225 39 91
391	229 40 188 111
392	200 241 62 133
393	106 163 61 238
394	287 277 59 48
395	79 139 248 137
396	34 56 48 13
397	143 97 228 226
398	249 187 246 164
399	220 164 269 234
400	105 22 10 29
401	17 241 21 157
402	257 80 62 299
403	226 109 276 160
404	298 286 254 164
405	217 209 98 239
406	97 297 207 223
407	168 46 225 200
408	45 67 147 30
409	12 295 129 53
410	156 234 61 164
411	129 137 31 130
412	6 33 212 207
413	1 286 88 212
414	117 224 108 156
415	85 114 109 117
416	244 112 153 93
417	130 17 147 89
418	73 14 6 138
419	118 167 142 182
420	16 296 38 63
421	112 192 235 126
422	225 126 121 67
423	164 138 168 297
424	186 79 188 215
425	259 244 103 193
426	188 114 29 37
427	37 293 68 287
428	6 68 222 66
429	226 17 196 242
