Students	2401
1	155 182 58 88
2	296 148 113 191
3	3 78 277 7
4	1 20 60 90
5	13 262 290 241
6	197 249 150 148
7	52 193 93 177
8	267 127 239 204
9	32 273 269 96
10	224 293 275 138
11	295 236 242 52
12	85 249 110 20
13	70 126 16 111
14	18 148 15 187
15	113 18 85 76
16	298 261 198 16
17	230 9 165 180
18	195 249 181 280
19	202 36 177 204
20	26 34 140 277
21	240 183 133 44
22	216 118 26 7
23	244 120 33 251
24	237 60 14 229
25	74 72 265 67
26	124 259 295 76
27	191 20 135 225
28	102 121 130 32
29	169 253 103 56
30	37 186 27 164
31	289 29 89 280
32	134 32 66 99
33	251 178 56 135
34	33 49 212 205
35	73 43 223 22
36	93 228 193 49
37	96 173 265 11
38	144 254 196 54
39	290 115 183 276
40	124 74 36 291
41	170 95 189 200
42	260 109 115 283
43	64 148 163 270
44	144 201 154 203
45	224 52 57 191
46	110 218 179 84
47	271 140 284 101
48	103 13 238 159
49	266 210 64 268
50	166 230 37 289
51	224 278 293 102
52	187 118 269 4
53	295 145 103 17
54	189 103 12 137
55	267 25 66 206
56	126 59 271 196
57	99 8 257 12
58	235 73 147 224
59	182 230 93 147
60	77 254 157 143
61	218 212 148 32
62	83 277 165 168
63	283 223 51 167
64	110 245 199 191
65	2 34 139 149
66	63 215 16 193
67	272 176 201 210
68	118 38 226 158
69	37 48 30 183
70	213 136 61 111
71	176 182 253 19
72	185 217 215 258
73	74 1 69 56
74	249 228 244 96
75	260 181 8 77
76	140 30 41 19
77	242 200 29 209
78	50 297 181 73
79	35 174 210 57
80	4 113 196 277
81	67 147 209 103
82	259 47 227 187
83	251 252 217 76
84	244 116 203 44
85	149 230 207 220
86	83 272 228 29
87	103 2 53 21
88	292 249 42 54
89	86 25 255 164
90	219 227 296 223
91	223 147 62 174
92	263 35 201 136
93	126 87 222 52
94	253 292 203 242
95	60 180 182 238
96	243 149 128 55
97	16 261 45 197
98	164 299 192 149
99	155 88 178 161
100	27 246 56 222
101	160 154 281 258
102	82 64 253 10
103	223 265 32 239
104	270 175 243 154
105	75 186 85 83
106	279 19 220 250
107	298 119 160 233
108	220 133 29 183
109	167 195 144 153
110	227 219 270 19
111	200 72 167 210
112	217 44 259 3
113	199 29 93 192
114	67 198 68 133
115	71 54 161 266
116	292 34 108 79
117	148 158 82 144
118	219 160 9 113
119	173 22 151 109
120	183 290 6 143
121	56 278 276 273
122	180 263 117 128
123	7 60 8 208
124	160 6 220 273
125	144 277 189 156
126	113 151 42 69
127	215 79 287 158
128	110 249 46 180
129	158 99 175 6
130	91 186 168 3
131	66 242 94 259
132	213 276 292 280
133	65 94 210 231
134	191 180 14 252
135	191 28 93 12
136	28 7 157 260
137	168 229 154 274
138	273 117 154 204
139	277 26 142 280
140	287 119 51 292
141	85 163 257 114
142	54 168 101 273
143	232 40 22 63
144	265 135 256 54
145	192 99 26 177
146	24 95 287 86
147	201 66 55 166
148	135 6 170 67
149	203 11 279 12
150	199 298 131 145
151	295 259 20 46
152	124 1 196 51
153	133 10 44 26
154	125 235 176 213
155	64 2 236 296
156	52 71 60 164
157	255 185 173 187
158	278 244 140 23
159	226 161 43 175
160	181 241 277 273
161	73 149 105 140
162	11 233 105 187
163	231 61 112 102
164	242 39 93 272
165	246 70 64 195
166	167 204 150 76
167	29 40 65 178
168	97 181 274 47
169	149 258 104 275
170	233 159 99 289
171	60 56 94 299
172	258 165 22 160
173	259 51 24 41
174	116 277 227 28
175	196 255 292 269
176	179 238 135 186
177	82 115 107 131
178	171 267 261 161
179	196 128 245 238
180	176 45 42 132
181	88 52 279 78
182	104 148 65 21
183	153 206 257 14
184	256 168 87 234
185	299 75 171 191
186	132 287 95 89
187	54 85 285 124
188	51 229 133 197
189	247 8 242 117
190	72 122 54 252
191	66 171 230 35
192	198 194 14 220
193	15 9 286 31
194	196 136 296 232
195	237 184 195 146
196	199 211 255 241
197	4 21 139 289
198	268 58 63 135
199	159 171 7 115
200	155 80 45 173
201	207 111 265 273
202	153 116 232 52
203	142 208 73 285
204	66 121 21 126
205	83 44 263 206
206	65 259 19 133
207	95 198 11 131
208	38 193 108 244
209	239 105 52 202
210	88 128 282 189
211	204 289 278 24
212	25 288 120 177
213	300 156 112 189
214	196 251 293 115
215	68 170 77 92
216	219 195 106 96
217	289 13 282 225
218	250 167 182 33
219	222 25 229 237
220	252 11 224 103
221	70 58 262 187
222	152 131 282 86
223	158 47 242 13
224	276 38 247 98
225	122 229 251 2
226	76 143 115 152
227	230 243 191 137
228	201 142 108 135
229	61 228 159 212
230	100 107 140 198
231	278 122 75 152
232	82 197 283 64
233	153 52 209 99
234	75 211 105 149
235	55 217 12 171
236	131 154 128 270
237	103 252 255 123
238	157 193 82 2
239	7 2 41 263
240	219 197 211 131
241	26 110 278 5
242	219 94 218 180
243	161 278 69 169
244	148 95 67 16
245	247 280 56 14
