Course	Room	Teacher	Time	Students
655	31	60	1	1084 708 603 1325 1876 138 3259 974 3211 2486 1851 2405 1652 2628 426 775 1211 757 1214 3744 3950 2701 1950 4036 388 3338 967 962 4155 4295 4425 3575 2359 2423 
455	31	29	2	709 3712 1340 4516 273 1872 136 3387 4536 1735 4672 2031 2262 2365 1036 1460 583 3747 2700 672 4257 4039 4680 840 1845 4014 4485 3192 3847 2005 296 4104 
666	31	482	3	4141 1264 4100 4205 1588 2133 2783 3797 2987 1298 4385 2664 933 2727 3879 1351 2819 1052 1332 4505 384 4377 4399 1027 4680 3378 1825 4643 1029 3505 3684 1386 
262	31	222	4	4082 2730 2630 456 270 4636 3673 174 4287 4068 1155 346 3182 2500 3832 3588 4191 3262 3265 824 2931 1701 1992 961 3423 4392 3017 3506 1721 2412 3728 375 
351	31	245	5	3590 1326 2605 557 2451 2619 3112 1482 4024 4228 3328 1879 832 1428 1838 2742 1252 2368 366 1290 3166 912 4167 467 4332 1795 2749 3053 4641 2097 3507 4147 
216	31	229	6	1349 2472 2773 2704 4430 3329 232 1832 2541 3129 4416 956 657 509 1674 2115 4312 1149 1154 2030 3704 786 3881 3541 904 1061 1842 4393 3442 3500 1474 1575 
709	31	236	7	4189 4365 2960 3805 3634 4368 1126 2310 3045 3475 3369 1192 4048 1111 1290 3081 1037 3580 670 588 4032 4469 4544 1285 4662 355 1684 2416 1411 2356 2163 
419	31	270	8	151 1306 2865 2848 1347 4208 4457 176 4206 957 4515 1524 1449 2709 770 4192 1357 4257 4623 4358 2186 165 3727 4051 4130 945 2417 2416 2100 681 4445 
355	31	484	9	1164 2965 1224 704 334 760 2190 2474 4575 3554 792 1583 1838 2548 873 1736 1371 1112 1116 2682 1278 2724 299 4287 964 3248 4643 1602 4073 1558 418 
851	31	276	10	4183 3806 1785 4186 4435 1481 259 3324 3738 4060 973 3457 2488 2782 3797 1854 2528 4244 2014 1017 2923 1154 3724 4356 4067 1022 2885 3427 2375 698 
231	31	34	11	1087 882 1209 157 150 2775 4437 3672 4706 3458 42 643 3437 2157 2661 3891 3952 564 1930 1936 3154 16 2495 4631 4014 1537 1240 4080 3238 430 
207	31	106	12	607 986 3869 271 235 3514 490 4691 2301 1683 4411 4168 2509 1379 1676 3920 3600 4095 677 1919 488 3745 4136 4397 1579 3194 533 1571 514 1661 
121	31	292	13	153 155 1148 2908 1183 1922 1486 3146 4227 3677 2784 2980 1293 1565 2669 3836 141 2852 3264 2834 3640 3508 2277 841 4013 4752 3031 1389 298 1746 
383	31	360	14	4361 1149 2829 3065 212 3297 251 850 1193 2221 524 521 4598 1234 1230 1319 2286 2959 1889 2954 3643 3053 3176 908 3246 4293 354 474 4640 72 
781	31	367	15	769 2906 629 2430 2297 702 3631 135 3309 3041 4708 2384 2114 3991 467 1595 2184 945 1861 2122 2272 1628 2313 4292 534 2379 1744 1385 539 377 
607	31	462	16	601 2458 577 218 390 1873 3326 3064 3701 3343 4147 4141 1945 3854 426 580 899 713 2645 2729 3648 2971 3643 4685 2214 4665 4395 3842 645 1517 
956	31	182	17	1327 2733 2847 1787 3008 3519 2055 3237 1549 1373 3979 3760 3662 3481 758 2608 672 1397 1597 4447 1887 1990 3786 3883 4154 1605 2573 3988 1363 2699 
534	31	65	18	3922 459 2739 3323 3665 3044 3439 1968 3105 3692 4007 653 586 309 1097 3481 2642 2855 3626 121 1867 3954 2974 4153 2276 59 1554 3017 2350 1664 
432	31	221	19	150 1225 2298 627 3774 707 331 4103 2193 4376 3834 2607 759 3482 1238 4112 4627 3171 3268 3283 220 1992 4077 4421 4394 4451 1822 2671 920 
399	31	224	20	4089 4655 499 2803 2099 959 2054 23 1850 4532 3184 674 2010 1832 4091 719 612 3073 4037 3269 3560 4170 3567 2557 3374 3016 414 2798 1741 
865	31	311	21	1305 4366 1349 2772 3755 1486 1905 1199 958 2321 791 4285 4536 3792 939 366 367 1814 2768 140 581 2285 2579 2315 4136 3110 470 512 1109 
