Students	4761
1	947 14 651 296
2	365 427 486 769
3	625 79 220 85
4	223 895 791 954
5	244 43 598 135
6	172 588 70 844
7	560 470 259 171
8	27 221 771 613
9	300 169 4 535
10	795 840 817 638
11	943 980 608 122
12	971 939 38 227
13	457 50 660 3
14	980 238 902 163
15	777 76 654 488
16	222 394 231 659
17	220 692 332 412
18	409 919 506 261
19	398 674 386 573
20	585 849 913 727
21	445 946 883 344
22	304 245 501 941
23	531 399 208 671
24	916 448 701 475
25	702 406 886 864
26	806 104 976 497
27	60 529 386 805
28	763 389 557 340
29	190 322 868 460
30	314 519 69 209
31	491 332 936 877
32	16 587 333 159
33	811 356 581 169
34	206 5 804 712
35	343 771 943 332
36	616 367 890 217
37	261 292 946 135
38	623 294 891 325
39	981 804 602 732
40	635 970 387 764
41	265 45 561 98
42	231 373 711 931
43	586 751 481 855
44	277 903 563 698
45	308 567 925 583
46	149 977 912 205
47	296 448 796 221
48	585 424 89 365
49	473 490 757 780
50	459 945 359 269
51	723 158 700 138
52	923 698 345 645
53	268 616 80 368
54	982 120 368 86
55	347 475 868 685
56	526 401 166 790
57	528 591 931 803
58	243 670 442 154
59	534 672 888 236
60	668 812 433 687
61	779 372 879 799
62	787 26 970 329
63	141 236 234 407
64	254 688 554 499
65	662 318 710 30
66	307 816 581 831
67	978 555 841 573
68	874 436 187 872
69	292 21 950 293
70	211 479 134 752
71	590 971 540 301
72	639 383 787 139
73	654 213 105 635
74	605 454 520 648
75	108 691 894 365
76	336 179 793 236
77	404 348 776 213
78	820 108 767 1000
79	157 255 184 194
80	701 608 558 245
81	698 713 23 867
82	952 820 123 640
83	62 559 573 891
84	876 353 344 774
85	887 155 647 684
86	52 871 99 449
87	829 631 717 210
88	333 490 955 609
89	226 783 263 37
90	924 57 668 881
91	651 653 349 107
92	826 759 861 326
93	926 237 328 871
94	686 181 71 151
95	924 938 590 752
96	171 885 875 810
97	189 368 501 222
98	528 837 950 134
99	9 842 20 122
100	903 488 727 871
101	70 437 988 238
102	341 149 764 305
103	230 829 775 575
104	107 369 112 397
105	294 167 768 197
106	142 362 676 279
107	845 169 188 2
108	984 210 50 734
109	382 258 845 278
110	479 464 394 769
111	980 744 466 944
112	966 626 241 700
113	209 909 90 224
114	236 662 31 762
115	597 369 438 273
116	484 459 200 301
117	541 68 213 446
118	395 344 108 147
119	489 318 16 697
120	147 476 538 667
121	765 534 253 287
122	734 339 442 164
123	189 199 754 360
124	558 814 38 711
125	715 407 167 12
126	430 752 672 587
127	971 869 985 46
128	569 945 984 668
129	59 961 863 654
130	926 51 682 248
131	236 265 760 680
132	178 350 440 715
133	114 63 318 950
134	35 153 215 502
135	838 394 781 416
136	78 324 595 455
137	303 637 742 468
138	202 655 618 570
139	821 44 964 859
140	905 746 865 615
141	848 297 512 121
142	50 664 544 742
143	279 949 514 221
144	458 888 702 578
145	552 561 903 483
146	661 928 663 702
147	331 457 618 466
148	430 615 293 604
149	761 280 859 586
150	208 231 708 432
151	419 947 170 741
152	440 532 596 868
153	868 181 312 121
154	887 264 422 464
155	403 533 121 647
156	395 928 659 935
157	673 797 231 285
158	413 217 441 183
159	815 365 145 464
160	596 336 372 303
161	292 378 296 600
162	185 618 244 816
163	693 264 158 218
164	854 106 145 272
165	458 128 419 381
166	227 802 170 345
167	525 208 160 689
168	358 222 252 202
169	413 668 510 686
170	140 803 891 825
171	140 830 301 422
172	532 111 628 642
173	496 530 159 828
174	544 202 188 262
175	476 757 887 765
176	704 419 129 317
177	155 335 720 110
178	115 356 703 431
179	867 30 239 969
180	270 745 387 93
181	325 42 286 223
182	527 499 185 813
183	244 569 256 854
184	479 248 393 242
185	82 782 470 200
186	535 266 984 101
187	775 302 217 96
188	664 798 141 631
189	706 15 179 99
190	628 472 765 19
191	702 859 631 406
192	4 637 973 660
193	555 33 798 821
194	976 196 693 418
195	411 940 178 152
196	148 728 478 63
197	393 42 476 718
198	632 500 570 860
199	990 744 54 189
200	279 229 52 909
201	63 343 408 915
202	171 340 667 187
203	807 87 261 950
204	465 796 496 409
205	652 361 328 491
206	256 493 236 777
207	860 92 640 75
208	354 649 252 367
209	546 519 611 933
210	815 558 936 467
